identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
www.zooplus.de,URL,"Hello,
As a lot of our domains share the same endpoints in the backend, we kindly ask you to also try to reproduce the error in www.zooplus.com
If you are able to reproduce it, please submit it with the .com domain but also report in which country domain you originally found it.
This will greatly improve the time to payment, help H1 Triage and us to determine the duplicates in findings.
Thanks a lot for your time and expertise!",true,true,,,,critical,"Amazon AWS Shield DDOS, German, VMware, Spring Boot, apache, Apache Tomcat, Docker, Elastic Search, Java, JavaScript, Nginx, Oracle RDBMS, PostgresSQL, Python, React, Spring, Amazon AWS WAF, Amazon Web Services, Angular",2021-07-30 11:06:17 UTC,2024-06-11 06:17:03 UTC
www.zooplus.be,URL,,false,false,,,,critical,"Spring Boot, Amazon Web Services, Amazon AWS WAF, Amazon AWS Shield DDOS, French, Spring, React, Python, PostgresSQL, VMware, Oracle RDBMS, Nginx, JavaScript, Java, Elastic Search, Docker, Apache Tomcat, apache, Angular",2021-08-06 10:35:16 UTC,2025-03-17 09:40:26 UTC
www.zooplus.dk,URL,,false,false,,,,critical,"Amazon AWS WAF, Amazon AWS Shield DDOS, VMware, Spring Boot, Spring, React, Python, PostgresSQL, Oracle RDBMS, Nginx, JavaScript, Java, Elastic Search, Docker, Apache Tomcat, apache, Angular, Amazon Web Services",2021-08-06 10:43:35 UTC,2025-03-17 09:40:26 UTC
www.zooplus.fi,URL,,false,false,,,,critical,"Amazon AWS WAF, Amazon AWS Shield DDOS, VMware, Spring Boot, Spring, React, Python, PostgresSQL, Oracle RDBMS, Nginx, JavaScript, Java, Elastic Search, Docker, Apache Tomcat, apache, Amazon Web Services, Angular",2021-08-06 10:48:58 UTC,2025-03-17 09:40:26 UTC
www.zooplus.fr,URL,,false,false,,,,critical,"Docker, Amazon AWS Shield DDOS, Amazon AWS WAF, Amazon Web Services, Angular, apache, Apache Tomcat, Elastic Search, Java, JavaScript, Nginx, Oracle RDBMS, PostgresSQL, Python, React, Spring, French, VMware, Spring Boot",2021-08-06 10:51:07 UTC,2025-03-17 09:40:26 UTC
www.zooplus.gr,URL,,false,false,,,,critical,"Amazon AWS Shield DDOS, VMware, Amazon AWS WAF, Amazon Web Services, Angular, apache, Apache Tomcat, Docker, Elastic Search, Java, JavaScript, Nginx, Oracle RDBMS, PostgresSQL, Python, React, Spring, Spring Boot",2021-08-06 10:53:33 UTC,2025-03-17 09:40:26 UTC
www.zooplus.co.uk,URL,"Hello,
As a lot of our domains share the same endpoints in the backend, we kindly ask you to also try to reproduce the error in www.zooplus.com
If you are able to reproduce it, please submit it with the .com domain but also report in which country domain you originally found it.
This will greatly improve the time to payment, help H1 Triage and us to determine the duplicates in findings.
Thanks a lot for your time and expertise!",true,true,,,,critical,"Docker, Apache Tomcat, Amazon Web Services, Amazon AWS WAF, English, VMware, Spring Boot, Spring, React, Python, PostgresSQL, Oracle RDBMS, Amazon AWS Shield DDOS, Angular, apache, Nginx, JavaScript, Java, Elastic Search",2021-08-06 10:55:31 UTC,2024-06-11 06:17:13 UTC
www.zooplus.ie,URL,,false,false,,,,critical,"Spring Boot, VMware, English, Spring, React, Python, PostgresSQL, Oracle RDBMS, Nginx, JavaScript, Java, Elastic Search, Docker, Apache Tomcat, apache, Angular, Amazon Web Services, Amazon AWS WAF, Amazon AWS Shield DDOS",2021-08-06 10:57:20 UTC,2025-03-17 09:40:26 UTC
www.zooplus.it,URL,,false,false,,,,critical,"Docker, Italian, VMware, Spring Boot, Spring, React, Python, PostgresSQL, Oracle RDBMS, Nginx, JavaScript, Java, Elastic Search, Apache Tomcat, apache, Angular, Amazon Web Services, Amazon AWS WAF, Amazon AWS Shield DDOS",2021-08-06 10:59:05 UTC,2025-03-17 09:40:26 UTC
www.zooplus.hr,URL,,false,false,,,,critical,"Amazon AWS Shield DDOS, VMware, Spring Boot, Spring, React, Python, PostgresSQL, Oracle RDBMS, Nginx, JavaScript, Java, Elastic Search, Docker, Apache Tomcat, apache, Angular, Amazon Web Services, Amazon AWS WAF",2021-08-12 08:22:26 UTC,2025-03-17 09:40:26 UTC
www.zooplus.nl,URL,,false,false,,,,critical,"JavaScript, Dutch, VMware, Spring Boot, Spring, React, Python, PostgresSQL, Oracle RDBMS, Nginx, Java, Elastic Search, Docker, Apache Tomcat, apache, Angular, Amazon Web Services, Amazon AWS WAF, Amazon AWS Shield DDOS",2021-08-12 08:27:06 UTC,2025-03-17 09:40:26 UTC
www.zooplus.no,URL,,false,false,,,,critical,"VMware, Spring Boot, PostgresSQL, Python, React, Spring, apache, Apache Tomcat, Docker, Elastic Search, Java, JavaScript, Nginx, Oracle RDBMS, Amazon AWS Shield DDOS, Amazon AWS WAF, Amazon Web Services, Angular",2021-08-12 08:31:12 UTC,2025-03-17 09:40:26 UTC
www.zooplus.at,URL,,false,false,,,,critical,"German, Amazon Web Services, Java, Elastic Search, Docker, Apache Tomcat, apache, Angular, Amazon AWS Shield DDOS, Amazon AWS WAF, VMware, Spring Boot, Spring, React, Python, PostgresSQL, Oracle RDBMS, Nginx, JavaScript",2021-08-12 08:33:32 UTC,2025-03-17 09:40:26 UTC
